name,class,country,year
Jaguar,1924-class Motor Torpedo Boat,Germany,1928
Jallao,Balao-class Submarine,United States,
Jantina,Argonauta-class Submarine,Italy,1932
Jean Bart,Richelieu-class Battleship,France,1940
Jean de Vienne,La Galissonnière-class Light Cruiser,France,1935
Jeanne d'Arc,Jeanne d'Arc-class Light Cruiser,France,
Jintsu,Sendai-class Light Cruiser,Japan,1923
Johnston,Fletcher-class Destroyer,United States,1943
Juneau,Atlanta-class Light Cruiser,United States,1941
Junyo,Hiyo-class Escort Carrier,Japan,1941
K (Planned),H-class Battleship,Germany,"1942 (Projected, not actual)"
K1 (Planned),K1-class Gunboat,Germany,"1941 (Projected, not actual)"
K2 (Planned),K1-class Gunboat,Germany,"1941 (Projected, not actual)"
K3 (Planned),K1-class Gunboat,Germany,"1941 (Projected, not actual)"
K4 (Planned),K1-class Gunboat,Germany,"1941 (Projected, not actual)"
Kaga,Kaga-class Aircraft Carrier,Japan,1921
Kaganovich,Kirov-class Light Cruiser,Russia,1944
Kairyu-class Summary Information,Kairyu-class Midget Submarine,Japan,
Kaiten-class Summary Information,Kaiten-class Midget Submarine,Japan,
Kaiyo,Kaiyo-class Escort Carrier,Japan,1938
Kako,Furutaka-class Heavy Cruiser,Japan,1925
Kalinin,Kirov-class Light Cruiser,Russia,1942
Kamikaze,Kamikaze-class Destroyer,Japan,1922
Kamoi,Kamoi-class Seaplane Tender,Japan,1922
Karlsruhe,K-class Light Cruiser,Germany,1927
Kashi,Momo-class Destroyer,Japan,1916
Kashii,Katori-class Light Cruiser,Japan,1941
Kashima,Katori-class Light Cruiser,Japan,1939
Kasuga,Kasuga-class Armored Cruiser,Japan,1902
Katori,Katori-class Light Cruiser,Japan,1939
Katsuragi,Unryu-class Aircraft Carrier,Japan,1943
Kelly,K-class Destroyer,United Kingdom,1938
Kembu Maru,No Classification,Japan,
Kentucky,Iowa-class Battleship,United States,1950
Kete,Balao-class Submarine,United States,1944
Kikuzuki,Mutsuki-class Destroyer,Japan,1926
Kilkis,Mississippi-class Battleship,Greece,
Kimberly,Fletcher-class Destroyer,United States,1943
Kinai Maru,No Classification,Japan,
King George V,King George V (1939)-class Battleship,United Kingdom,1939
Kingfish,Gato-class Submarine,United States,
Kinu,Nagara-class Light Cruiser,Japan,1922
Kinugasa,Furutaka-class Heavy Cruiser,Japan,1926
Kirishima,Kongo-class Battleship,Japan,1913
Kirov,Kirov-class Light Cruiser,Russia,1936
Kiso,Kuma-class Light Cruiser,Japan,1920
Kitakami,Kuma-class Light Cruiser,Japan,1920
Kitty Hawk,Kitty Hawk-class Merchant Vessel,United States,1932
Komet,No Classification,Germany,1936
Kondor,1923-class Motor Torpedo Boat,Germany,1926
Kongo,Kongo-class Battleship,Japan,1913
Kormoran,No Classification,Germany,1938
Kraken,Balao-class Submarine,United States,
Kuala,No Classification,United Kingdom,
Kuma,Kuma-class Light Cruiser,Japan,1919
Kumano,Mogami-class Heavy Cruiser,Japan,1936
Kurmark,No Classification,Germany,
Kyne,Cannon-class Destroyer Escort,United States,1943
Köln,K-class Light Cruiser,Germany,1928
Königsberg,K-class Light Cruiser,Germany,1927
L (Planned),H-class Battleship,Germany,"1940 (Projected, not actual)"
La Galissonnière,La Galissonnière-class Light Cruiser,France,
La Motte-Picquet,Duguay-Trouin-class Light Cruiser,France,1924
Laffey (Allen M. Sumner-class),Allen M. Sumner-class Destroyer,United States,1943
Laffey (Benson-class),Benson-class Destroyer,United States,1941
Lagarto,Balao-class Submarine,United States,
Lamprey,Balao-class Submarine,United States,
Lanciere,Soldati-class Destroyer,Italy,
Langley (Independence-class),Independence-class Light Carrier,United States,1943
Langley (Langley-class),Langley-class Seaplane Tender,United States,
Lansdowne,Gleaves-class Destroyer,United States,1942
Lapon,Gato-class Submarine,United States,
Lardner,Gleaves-class Destroyer,United States,1942
Lawrence,Clemson-class Destroyer,United States,1920
LCI(L)-class Summary Information,LCI(L)-class Landing Ship,United States,
LCVP-class Summary Information,LCVP-class Landing Craft,United States,
Legionaro,Soldati-class Destroyer,Italy,
Leipzig,Leipzig-class Light Cruiser,Germany,1929
Lemnos,Mississippi-class Battleship,Greece,1905
Leonardo da Vinci,Marconi-class Submarine,Italy,1939
Leopard,1924-class Motor Torpedo Boat,Germany,1928
Leutze,Fletcher-class Destroyer,United States,1942
Lexington (Essex-class),Essex-class Aircraft Carrier,United States,1942
Lexington (Lexington-class),Lexington-class Aircraft Carrier,United States,1925
Ling,Balao-class Submarine,United States,1943
Lionfish,Balao-class Submarine,United States,
Littorio,Vittorio Veneto-class Battleship,Italy,1937
Lizardfish,Balao-class Submarine,United States,
Loggerhead,Balao-class Submarine,United States,
London,County-class Heavy Cruiser,United Kingdom,1927
Long Island,Long Island-class Escort Carrier,United States,1940
Lorraine,Bretagne-class Battleship,France,1913
Louisville,Northampton-class Heavy Cruiser,United States,1930
LST-1,LST-class Landing Ship,United States,1942
LST-412,LST-class Landing Ship,United Kingdom,1942
Luce,Fletcher-class Destroyer,United States,1943
Luchs,1924-class Motor Torpedo Boat,Germany,1928
Luigi Torelli,Marconi-class Submarine,Italy,1940
Lützow,Admiral Hipper-class Heavy Cruiser,Germany,1939
M,No Classification,Germany,
M (Planned),H-class Battleship,Germany,"1942 (Projected, not actual)"
M (Planned),M-class Light Cruiser,Germany,"1941 (Projected, not actual)"
M (Planned),M-class Light Cruiser,Germany,"1945 (Projected, not actual)"
M1,M-class Minesweeper,Germany,1937
M10,M-class Minesweeper,Germany,1938
M101,M-class Minesweeper,Germany,1941
M102,M-class Minesweeper,Germany,1941
M103,M-class Minesweeper,Germany,1941
M104,M-class Minesweeper,Germany,1942
M107,M-class Minesweeper,Germany,1918
M11,M-class Minesweeper,Germany,1938
M12,M-class Minesweeper,Germany,1938
M13,M-class Minesweeper,Germany,1939
M131,M-class Minesweeper,Germany,
M132,M-class Minesweeper,Germany,
M133,M-class Minesweeper,Germany,
M14,M-class Minesweeper,Germany,1939
M15,M-class Minesweeper,Germany,1939
M151,M-class Minesweeper,Germany,
M152,M-class Minesweeper,Germany,
M153,M-class Minesweeper,Germany,
M154,M-class Minesweeper,Germany,
M155,M-class Minesweeper,Germany,
M156,M-class Minesweeper,Germany,
M16,M-class Minesweeper,Germany,1939
M17,M-class Minesweeper,Germany,1939
M18,M-class Minesweeper,Germany,1939
M19,M-class Minesweeper,Germany,1939
M2,M-class Minesweeper,Germany,1937
M2 (Planned),M2-class Light Cruiser,Germany,"1947 (Projected, not actual)"
M20,M-class Minesweeper,Germany,1939
M201,M-class Minesweeper,Germany,1940
M202,M-class Minesweeper,Germany,1940
M203,M-class Minesweeper,Germany,1940
M204,M-class Minesweeper,Germany,1940
M205,M-class Minesweeper,Germany,1941
M206,M-class Minesweeper,Germany,1941
M21,M-class Minesweeper,Germany,1939
M22,M-class Minesweeper,Germany,1940
M23,M-class Minesweeper,Germany,1940
M24,M-class Minesweeper,Germany,1940
M25,M-class Minesweeper,Germany,1940
M251,M-class Minesweeper,Germany,1940
M252,M-class Minesweeper,Germany,1940
M253,M-class Minesweeper,Germany,1940
M254,M-class Minesweeper,Germany,1941
M255,M-class Minesweeper,Germany,1941
M256,M-class Minesweeper,Germany,1941
M26,M-class Minesweeper,Germany,1940
